"","Codi.districte","Codi.barri","Codi.carrer","Num.postal.caption","Descripció.dia.setmana","NK.Any","Nom.mes","Dia.de.mes","Hora.de.dia","Descripció.causa.vianant","Desc..Tipus.vehicle.implicat","Descripció.sexe","Descripció.tipus.persona","Edat","Descripció.victimització","Coordenada.UTM..Y.","Coordenada.UTM..X."
"10189",7,35,152905,"0122 0122","Divendres",2015,"Maig",22,5,"No és causa del  vianant","Motocicleta","Home","Conductor",41,"Ferit lleu",4585568.85,431143.27
"10190",7,35,126803,"0025 0025","Dijous",2015,"Febrer",26,10,"No és causa del  vianant","Motocicleta","Home","Conductor",52,"Ferit lleu",4585383.4,431331.93
"10191",7,35,279101,"0022 0022B","Dimecres",2015,"Març",4,4,"No és causa del  vianant","Motocicleta","Home","Conductor",30,"Ferit lleu",4585528.54,431247.63
"10193",8,54,700102,"0034 0034","Dimecres",2015,"Abril",8,5,"No és causa del  vianant","Autobús","Home","Vianant",4,"Ferit lleu",4589612.73,430864.78
"10196",8,49,120851,"0005 0005","Dimecres",2015,"Novembre",4,5,"No és causa del  vianant","Motocicleta","Home","Conductor",31,"Ferit lleu",4588338.08,430308.53
"10197",8,49,120851,"0005 0005","Dissabte",2015,"Juny",27,2,"No és causa del  vianant","Turismo","Home","Conductor",21,"Ferit lleu",4588338.08,430308.53
"10198",8,49,153158,"0019 0019","Dissabte",2015,"Febrer",21,1,"No és causa del  vianant","Turismo","Home","Passatger",54,"Ferit lleu",4588373.44,430042.78
"10201",8,50,359700,"0023I0023I","Dijous",2015,"Maig",21,8,"No és causa del  vianant","Autobús","Home","Passatger",69,"Ferit lleu",4588796.01,431186.35
"10203",8,49,153158,"0070X0070X","Dijous",2015,"Octubre",8,8,"No és causa del  vianant","Todo terreno","Home","Conductor",33,"Ferit lleu",4588610.62,430709.68
"10205",8,49,153158,"0071 0071","Divendres",2015,"Abril",3,9,"No és causa del  vianant","Ciclomotor","Home","Conductor",35,"Ferit greu",4588681.88,430603.48
"10206",8,48,351901,"0166C0166C","Dilluns",2015,"Setembre",7,10,"No és causa del  vianant","Ciclomotor","Home","Conductor",34,"Ferit lleu",4587917.96,430536.5
"10208",8,50,94900,"0005 0005","Dissabte",2015,"Abril",11,9,"No és causa del  vianant","Furgoneta","Home","Conductor",40,"Ferit lleu",4588776.41,431287.77
"10212",8,53,241200,"0033 0033","Divendres",2015,"Juliol",3,7,"No és causa del  vianant","Turismo","Home","Conductor",19,"Ferit lleu",4588942.71,431941.61
"10213",8,53,241200,"0033 0033","Divendres",2015,"Juliol",3,7,"No és causa del  vianant","Turismo","Home","Conductor",33,"Ferit lleu",4588942.71,431941.61
"10218",8,53,260307,"0018 0018","Dimarts",2015,"Març",17,8,"No és causa del  vianant","Turismo","Home","Vianant",14,"Ferit lleu",4589171.86,432167.46
"10219",8,53,700112,"0017 0017","Dimarts",2015,"Juliol",7,6,"No és causa del  vianant","Ciclomotor","Home","Conductor",29,"Ferit lleu",4589232.32,431635.96
"10223",8,53,701670,"0004 0004","Dimarts",2015,"Març",3,2,"No és causa del  vianant","Motocicleta","Home","Conductor",51,"Ferit lleu",4589215.35,432169.58
"10224",8,48,198167,"0015 0015","Dilluns",2015,"Juliol",6,5,"No és causa del  vianant","Motocicleta","Home","Conductor",25,"Ferit lleu",4587937.64,430571.45
"10226",8,51,239708,"0006 0006","Dimecres",2015,"Març",4,6,"No és causa del  vianant","Motocicleta","Home","Conductor",52,"Ferit lleu",4588129.43,431143.62
"10229",8,51,36700,"0020 0022","Diumenge",2015,"Setembre",6,7,"No és causa del  vianant","Turismo","Home","Passatger",23,"Ferit lleu",4588544.18,431387.39
"10230",8,52,209900,"0547A0547A","Dissabte",2015,"Agost",1,9,"Creuar per fora pas de vianants","Turismo","Home","Vianant",21,"Ferit lleu",4588661.65,432109.26
"10231",8,52,209900,"0547A0547A","Dijous",2015,"Juny",25,8,"No és causa del  vianant","Furgoneta","Home","Conductor",38,"Ferit lleu",4588661.65,432109.26
