"","Codi.districte","Codi.barri","Codi.carrer","Num.postal.caption","Descripció.dia.setmana","NK.Any","Nom.mes","Dia.de.mes","Hora.de.dia","Descripció.causa.vianant","Desc..Tipus.vehicle.implicat","Descripció.sexe","Descripció.tipus.persona","Edat","Descripció.victimització","Coordenada.UTM..Y.","Coordenada.UTM..X."
"3060",10,67,4908,"0004 0004","Dimarts",2015,"Maig",19,12,"No és causa del  vianant","Tranvía o tren","Dona","Passatger",81,"Ferit lleu",4582905.3,433102.69
"3061",10,66,4908,"0056 0056","Dissabte",2015,"Maig",23,10,"No és causa del  vianant","Motocicleta","Home","Conductor",38,"Ferit lleu",4583225.63,432785.71
"3062",10,66,11200,"0118 0118","Dilluns",2015,"Juny",22,10,"No és causa del  vianant","Motocicleta","Home","Conductor",50,"Ferit lleu",4583401.77,432443.97
"3063",10,66,11200,"0120 0120","Dissabte",2015,"Juny",13,3,"No és causa del  vianant","Taxi","Home","Conductor",42,"Ferit lleu",4583416.71,432459.43
"3064",10,66,11200,"0131 0135","Dimecres",2015,"Octubre",21,12,"No és causa del  vianant","Autobús","Dona","Passatger",56,"Ferit lleu",4583454.6,432466.87
"3065",10,66,29206,"0105 0105","Divendres",2015,"Desembre",11,6,"No és causa del  vianant","Motocicleta","Home","Conductor",61,"Ferit lleu",4583523.32,432639.06
"3066",10,66,186703,"0001B0001B","Dijous",2015,"Setembre",24,6,"No és causa del  vianant","Ciclomotor","Dona","Conductor",20,"Ferit lleu",4582668.37,432219.51
"3068",10,66,186703,"0051 0055","Diumenge",2015,"Juliol",5,1,"No és causa del  vianant","Turismo","Dona","Passatger",25,"Ferit lleu",4583005.71,432565.15
"3069",10,66,186703,"0095 0097","Dimecres",2015,"Setembre",9,8,"No és causa del  vianant","Turismo","Dona","Conductor",40,"Ferit lleu",4583274.22,432857.44
"3071",10,66,171400,"0071 0071","Dimecres",2015,"Juny",10,8,"No és causa del  vianant","Motocicleta","Home","Conductor",43,"Ferit greu",4583046.32,432354.98
